"Section","Query #","Query Text","k","Response #","chunk_id","score","Response Text"
"A","1","What is the policy statement for the academic integrity policy?","5","1","51","0.795959","Statement on Academic Integrity The Statement on Academic Integrity, found in the faculty, student and staff handbooks, is the first step in Carnegie Mellon University's ongoing effort to identify and implement the kind of society its members wish to enjoy."
"A","1","What is the policy statement for the academic integrity policy?","5","2","1373","0.725584","Existing University policies and principles on ethical and professional conduct include : • Handling Alleged Misconduct in Research Policy • Faculty Handbook: Statement on Academic Integrity • Staff Handbook, Section II."
"A","1","What is the policy statement for the academic integrity policy?","5","3","120","0.724487","Academic Integrity Policy Students at Carnegie Mellon are engaged in intellectual activity consistent with the highest standards of the academy. The relationship between students and instructors and their shared commitment to overarching standards of respect, honor and transparency determine the integrity of our community of scholars."
"A","1","What is the policy statement for the academic integrity policy?","5","4","69","0.69872","Practice of the Mission of Academic Integrity Academic integrity refers to the implicit co mmitment that every member makes to all others in the community to practice those principles that underlie the mission of the university and define academic integrity."
"A","1","What is the policy statement for the academic integrity policy?","5","5","107","0.693166","Fairness and Exemplary Behavior The preservation of academic integrity means not only commitment to ideals but also justice in carrying out these ideals."
"A","2","What is the policy violation definition for cheating?","5","1","132","0.8161","Policy Violations Cheating occurs when a student avails her/himself of an unfair or disallowed advantage which includes but is not limited to : 1."
"A","2","What is the policy violation definition for cheating?","5","2","569","0.571648","Wednesday, July 1, 1987, p. 24468. 59 To be deemed misconduct for the purposes of this policy, a ""material failure to comply with Federal requirements"" or a ""failure to meet other material legal requirements"" must be intentional or grossly negligent."
"A","2","What is the policy violation definition for cheating?","5","3","2215","0.565785","This definition addresses intentional conduct. It also includes conduct that results in negative effects even though such negative effects were unintended."
"A","2","What is the policy violation definition for cheating?","5","4","232","0.564695","Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data."
"A","2","What is the policy violation definition for cheating?","5","5","280","0.556458","Enforcement Inappropriate behavior in the use of computers is punishable under the general university policies and regulations regarding faculty, students and staff."
"A","3","What is the policy statement for improper or illegal communications?","5","1","180","0.682122","Improper/Illegal Communications Any communications that would be improper or illegal on any other medium are equally so on the computer: libelous material, obscene messages, harassment, forgery, threats, etc."
"A","3","What is the policy statement for improper or illegal communications?","5","2","2046","0.616292","This Policy distinguishes the action of reporting from filing a Formal Complaint . Thus, information shared about suspected Prohibited Conduct does not automatically trigger formal action or an investigation, as discussed below in Section VI.B."
"A","3","What is the policy statement for improper or illegal communications?","5","3","2027","0.56894","This Policy is intended to: (1) prevent, eliminate and remedy the effects of Prohibited Conduct ; (2) foster an environment where all individuals are well- in formed and supported in reporting Prohibited Conduct ; and (3) provide a prompt, fair and impartial process for all parties once the university is made aware of possible Prohibited Conduct ."
"A","3","What is the policy statement for improper or illegal communications?","5","4","232","0.567218","Violation of any aspect of this policy is a sanctionable offense. When possible, staff members will be informed about the issuance of court orders, or other intrusions into their electronic data."
"A","3","What is the policy statement for improper or illegal communications?","5","5","2168","0.544653","A detailed list of the possible remedies and sanctions is available in Appendix A to this Policy . G. Alternative Resolutions This Policy describes two procedures for the formal resolution of Prohibited Misconduct – a procedure for the adjudication of Federal Rule Sexual Misconduct in Section V I.C and a procedure for Other Prohibited Conduct in Section V I.E."
"A","4","What are CMU's quiet hours?","5","1","1671","0.65514","During finals week or reading days, 24-hour quiet hours will be in effect. For long vacation weekends, weekend hours will be 184 in effect until the night before classes resume."
"A","4","What are CMU's quiet hours?","5","2","1670","0.640144","Quiet Hours Quiet hours for all residential areas are 8 pm - 8 am on Sunday through Thursday nights, and Midnight - 9 am on Friday and Saturday nights."
"A","4","What are CMU's quiet hours?","5","3","1683","0.625526","This designation includes a provision for an extension of the university’s current quiet hours policy to 24 hours."
"A","4","What are CMU's quiet hours?","5","4","1762","0.618734","Acknowledging our desire to foster a vibrant campus culture, which will necessarily involve some noise associated with campus activities, the following expectations are intended to guide thoughtful planning and decision -making by students and studen t groups : Activity occurring on Carnegie Mellon- owned or managed property that disrupts the normal course of business or is otherwise disruptive to the university or surrounding communities is restricted during the following hours : • Monday - Thu rsday: befor e 4:40 p.m. and after 6:5 0 p.m. • Friday: before 4:40 p.m. and after 10:00 p.m. • Saturday and Sunday: before 7:00 a.m. and after 10:00 p.m. To fully support our vision for campus life, it is necessarily the case that some organized activities will merit consideration for exception to these articulated hours."
"A","4","What are CMU's quiet hours?","5","5","1677","0.564217","The established quiet hours stated above are the minimums for every residential area. If you or anyone in your living unit believes that quiet hours should be extended, contact your Resident Assistant (RA) or Student Dormitory Council representative."
"A","5","Where are pets allowed on CMU?","5","1","1653","0.648932","Animals are not permitte d in any public or common spaces within the residence facility, except as necessary to bring the animal into and out of the building as needed."
"A","5","Where are pets allowed on CMU?","5","2","1646","0.640234","• Service animals are permitted inside university housing facilities but may be prohibited from accessing certain environments where the presence of an animal presents a health or safety risk (e.g."
"A","5","Where are pets allowed on CMU?","5","3","1816","0.631144","Except as noted below, students and their guests are not permitted to bring dogs, cats or o ther pets inside any university buildings, including residence facilities, fraternities and sororities, classrooms, and other academic or administrative facilities ."
"A","5","Where are pets allowed on CMU?","5","4","1643","0.617633","Requests for exceptions to this policy should be made to the Director of Housing Services . Pets and Animals Except as set forth below, pets and other animals are not permitted in any university housing facilities, including fraternities and sororities ."
"A","5","Where are pets allowed on CMU?","5","5","1814","0.615872","Pets Pets are permitted outside on campus grounds when leashed and properly attended. No animal may be left tied to trees or other objects on campus."
